Trial No,Farm Pop,Wild Pop,Trout Pop,External Pressure,Wild Lice,Trout Lice,Resistance Benefit,Fitness Cost,Temp Profile,Prob. Attach own farm,Attachment Probability
1,mid,none,none,high,low,low,mid,low,mid,mid,mid
2,mid,mid,none,high,low,low,mid,low,mid,mid,mid
3,mid,none,none,high,low,low,mid,none,mid,mid,mid
4,mid,mid,none,high,low,low,mid,none,mid,mid,mid
5,mid,low,none,high,low,low,mid,none,mid,mid,mid
6,mid,low,none,high,low,low,mid,low,mid,mid,mid
7,mid,high,none,high,low,low,mid,low,mid,mid,mid
8,mid,high,none,high,low,low,mid,none,mid,mid,mid
